latitude,longitude,Name,tt
5.603717,-0.186964,P1,"<img width=""500px"" src=""Accra, Ghana - Laure.jpg""><p>Accra, Ghana - Pic by Laure</p>"
45.899247,6.129384,P2,"<img width=""500px"" src=""Annecy, France - Charlotte.jpg""><p>Annecy, France - Pic by Charlotte</p>"
41.806963,12.563338,P3,"<img width=""500px"" src=""Appia Antica near Rome, Italy - Leo.jpg""><p>Appia Antica near Rome, Italy - Pic by Leo</p>"
21.885256,-102.291568,P4,"<img width=""500px"" src=""Auguascalientes, Mexico - Charlotte.jpg""><p>Auguascalientes, Mexico - Pic by Charlotte</p>"
-8.409518,115.188916,P5,"<img width=""500px"" src=""Bali, Indonesia - Charlotte.jpg""><p>Bali, Indonesia - Pic by Charlotte</p>"
23.684994,90.356331,P6,"<img width=""500px"" src=""Bangladesh Cinzia (1).jpg""><p>Bangladesh - Pic by Cinzia</p>"
23.684994,90.356331,P7,"<img width=""500px"" src=""Bangladesh Cinzia (2).jpg""><p>Bangladesh - Pic by Cinzia</p>"
23.685,90.356331,P8,"<img width=""500px"" src=""Bangladesh Cinzia (3).jpg""><p>Bangladesh - Pic by Cinzia</p>"
23.684994,90.358,P9,"<img width=""500px"" src=""Bangladesh Cinzia (4).jpg""><p>Bangladesh - Pic by Cinzia</p>"
23.687,90.356331,P10,"<img width=""500px"" src=""Bangladesh, Cinzia (5).jpg""><p>Bangladesh - Pic by Cinzia</p>"
31.728181,35.138032,P11,"<img width=""500px"" src=""Battir in Palestine - Wietse.jpg""><p>Battir in Palestine - Pic by Wietse</p>"
33.888629,35.495479,P12,"<img width=""500px"" src=""Beirut - Mazen.jpg""><p>Beirut - Pic by Mazen</p>"
17.189877,-88.4985,P13,"<img width=""500px"" src=""Belize - Charlotte (2).jpg""><p>Belize - Pic by Charlotte (2)</p>"
17.189877,-88.49765,P14,"<img width=""500px"" src=""Belize - Charlotte.jpg""><p>Belize - Pic by Charlotte</p>"
42.360083,-71.05888,P15,"<img width=""500px"" src=""Boston, US - Arti.jpg""><p>Boston, US - Pic by Arti</p>"
50.82253,-0.137163,P16,"<img width=""500px"" src=""Brighton beach, UK - Katka.jpg""><p>Brighton beach, UK - Pic by Katka</p>"
43.552847,7.017369,P17,"<img width=""500px"" src=""Cannes - Heidi.jpg""><p>Cannes - Pic by Heidi</p>"
51.280233,1.078909,P18,"<img width=""500px"" src=""Canterbury, UK - Sian.jpg""><p>Canterbury, UK - Pic by Sian</p>"
-33.924868,18.425,P19,"<img width=""500px"" src=""Cape Town, South Africa (3) - Charlotte.jpg""><p>Cape Town, South Africa (3) - Pic by Charlotte</p>"
-33.924868,18.426,P20,"<img width=""500px"" src=""Cape Town, South Africa - Charlotte (2).jpg""><p>Cape Town, South Africa - Pic by Charlotte (2)</p>"
-33.945,18.424055,P21,"<img width=""500px"" src=""Cape Town, South Africa - Charlotte.jpg""><p>Cape Town, South Africa - Pic by Charlotte</p>"
-33.924868,18.424055,P22,"<img width=""500px"" src=""Cape Town, South Africa - Melissa.jpg""><p>Cape Town, South Africa - Pic by Melissa</p>"
56.502565,-2.70325,P23,"<img width=""500px"" src=""Carnoustie, Scotland - Ashley.jpg""><p>Carnoustie, Scotland - Pic by Ashley</p>"
44.463344,10.417708,P24,"<img width=""500px"" src=""Cinqueterre, Italy - AK.jpg""><p>Cinqueterre, Italy - Pic by AK</p>"
41.886133,12.485133,P25,"<img width=""500px"" src=""Circo Massimo, Rome, Italy - Sian.jpg""><p>Circo Massimo, Rome, Italy - Pic by Sian</p>"
9.748917,-83.753428,P26,"<img width=""500px"" src=""Costa Rica - Charlotte.jpg""><p>Costa Rica - Pic by Charlotte</p>"
-33.44889,-70.669265,P27,"<img width=""500px"" src=""Costanera Centre, Santiago, Chile - Melissa.jpg""><p>Costanera Centre, Santiago, Chile - Pic by Melissa</p>"
21.521757,-77.781167,P28,"<img width=""500px"" src=""Cuba - Melissa.jpg""><p>Cuba - Pic by Melissa</p>"
46.820027,8.406992,P29,"<img width=""500px"" src=""Engelberg, Switzerland - Heidi.jpg""><p>Engelberg, Switzerland - Pic by Heidi</p>"
61.92411,25.748151,P30,"<img width=""500px"" src=""Finland - Heidi.jpeg""><p>Finland - Pic by Heidi</p>"
44.954353,6.392174,P31,"<img width=""500px"" src=""Glacier blanc, Alps, France - Romain.jpg""><p>Glacier blanc, Alps, France - Pic by Romain</p>"
14.634915,-90.506882,P32,"<img width=""500px"" src=""Guatemala City - Charlotte.jpg""><p>Guatemala City - Pic by Charlotte</p>"
57.70887,11.97456,P33,"<img width=""500px"" src=""G”tebord, Sweden, Lisa.jpg""><p>Gotebord, Sweden - Pic by Lisa</p>"
20.910051,107.183902,P34,"<img width=""500px"" src=""Halong Bay, Vietnam - Charlotte.jpg""><p>Halong Bay, Vietnam - Pic by Charlotte</p>"
